Feature,count,% missing,cardinality,mean,std,min,25%,50%,75%,max
age,684,31.6,34,42.30409356725146,12.148468354676867,18.0,32.0,42.0,50.0,84.0
numHandsets,1000,0.0,12,1.879,1.5253477261548252,1.0,1.0,1.0,2.0,21.0
handsetAge,998,0.2,563,385.0841683366734,245.42224259700603,2.0,209.0,343.5,505.75,1638.0
currentHandsetPrice,1000,0.0,11,35.25561000000024,56.04889192226361,0.0,0.0,0.0,59.99,399.99
avgBill,1000,0.0,839,59.957519999999995,44.963058526769316,0.0,34.147499999999994,50.0,72.4625,503.91
avgMins,1000,0.0,882,532.5938700000002,559.2798626933903,0.0,154.5,370.625,712.875,6103.75
avgrecurringCharge,1000,0.0,230,47.43989999999993,24.44968805600665,0.0,30.0,44.99,59.99,200.15
avgOverBundleMins,1000,0.0,350,44.30821,113.80443322523826,0.0,0.0,1.875,47.5,1912.5
avgRoamCalls,1000,0.0,192,1.30844,6.868693887641352,0.0,0.0,0.0,0.35,143.79
callMinutesChangePct,1000,0.0,788,-0.31523719999999983,5.371658826817641,-30.155,-1.7712500000000002,-0.14,1.40625,44.005
billAmountChangePct,1000,0.0,735,-0.012752000000000015,0.7795266822016201,-4.8886,-0.1609,-0.005,0.038650000000000004,8.0946
avgReceivedMins,1000,0.0,853,115.11489000000005,171.3737992227749,0.0,9.0975,52.865,150.53,1817.74
avgOutCalls,1000,0.0,253,24.74966000000001,36.27399789943214,0.0,3.67,13.67,33.33,610.33
avgInCalls,1000,0.0,137,8.203869999999997,15.850197970334538,0.0,0.0,2.0,9.67,140.33
peakOffPeakRatio,1000,0.0,895,2.169698455159996,2.80891378967336,0.0,0.8149822695,1.442014012,2.616380451,43.36401241
peakOffPeakRatioChangePct,1000,0.0,1000,-0.20062365324800063,10.260445556503152,-32.47901987,-6.9923035375,-0.0016495185,6.465557131749999,31.94487908
avgDroppedCalls,1000,0.0,152,11.27942,16.932830584849498,0.0,2.0,5.67,13.67,171.0
lifeTime,1000,0.0,50,19.062,9.57788556477325,6.0,12.0,17.0,24.0,59.0
lastMonthCustomerCareCalls,1000,0.0,57,1.6391800000000003,3.729406091778878,0.0,0.0,0.0,1.33,35.0
numRetentionCalls,1000,0.0,4,0.05,0.2560577387339918,0.0,0.0,0.0,0.0,4.0
numRetentionOffersAccepted,1000,0.0,3,0.023,0.1688179478002847,0.0,0.0,0.0,0.0,3.0
newFrequentNumbers,1000,0.0,4,0.215,0.6776682331600253,0.0,0.0,0.0,0.0,3.0
